product_id_values,avg_review,main_categories,total_quantity_sold,Revenue_2016,Revenue_2017,Revenue_2018,product_lifecycle,sellers_inolved,transaction_value,total_customers_bought
P00701,1,Beauty & Personal Care,1,0,1.2,0,only one year,1,9.09,1
P27481,5,Beauty & Personal Care,1,0,8.9,0,only one year,1,9.95,1
P21771,5,"Sports, Toys & Leisure",1,0,10,0,only one year,1,10.03,1
P06389,5,"Construction tools ,arts & Others",1,0,2.29,0,only one year,1,10.07,1
P09318,5,Home & Furniture,1,0,7.8,0,only one year,1,10.88,1
P11237,2,"Sports, Toys & Leisure",1,0,10.99,0,only one year,1,11.82,1
P10783,5,"Construction tools ,arts & Others",1,0,3.5,0,only one year,1,12.22,1
P12092,5,Electronics & Technology,1,0,0,5.5,only one year,1,12.89,1
P22776,5,"Sports, Toys & Leisure",1,0,0,5.9,only one year,1,13.29,1
P20515,5,"Sports, Toys & Leisure",1,0,0,5.49,only one year,1,13.36,1
P00226,1,Beauty & Personal Care,1,0,8.03,0,only one year,1,13.49,1
P03437,5,"Sports, Toys & Leisure",1,0,11.64,0,only one year,1,13.62,1
P30740,5,Electronics & Technology,1,0,0,6.19,only one year,1,14.06,1
P00333,5,Home & Furniture,1,0,6.5,0,only one year,1,14.15,1
P06769,5,"Sports, Toys & Leisure",1,0,0,6.9,only one year,1,14.29,1
P20185,2,Home & Furniture,1,0,0,5.31,only one year,1,14.65,1
P28438,1,NULL,1,0,3.9,0,only one year,1,14.86,1
P08222,5,"Construction tools ,arts & Others",1,0,0,7.5,only one year,1,14.89,1
P18508,5,Home & Furniture,1,0,0,9.99,only one year,1,15.11,1
P30761,3,Electronics & Technology,1,0,3.9,0,only one year,1,15.75,1
P11880,5,Home & Furniture,1,0,8,0,only one year,1,15.78,1
P10904,5,Home & Furniture,1,0,0,8.45,only one year,1,15.84,1
P24512,5,"Construction tools ,arts & Others",1,0,0,8.5,only one year,1,15.89,1
P13614,3,Electronics & Technology,1,0,0,8.9,only one year,1,16.29,1
P30057,5,Beauty & Personal Care,1,0,0,8.9,only one year,1,16.29,1
P18688,5,Electronics & Technology,1,0,4.5,0,only one year,1,16.35,1
P23880,5,"Sports, Toys & Leisure",1,0,11.99,0,only one year,1,16.51,1
P16279,5,Electronics & Technology,1,0,9,0,only one year,1,16.78,1
P29056,5,Home & Furniture,1,0,0,7.9,only one year,1,16.78,1
P14713,5,Electronics & Technology,1,0,8.6,0,only one year,1,16.87,1
P12953,1,"Construction tools ,arts & Others",1,0,0,8.88,only one year,1,17.17,1
P09609,4,Electronics & Technology,1,0,8.5,0,only one year,1,17.22,1
P13534,3,Electronics & Technology,1,0,0,9.5,only one year,1,17.28,1
P30505,1,Home & Furniture,1,0,5.53,0,only one year,1,17.38,1
P31113,4,Home & Furniture,1,0,0,9.99,only one year,1,17.38,1
P14361,5,"Sports, Toys & Leisure",1,0,0,9.9,only one year,1,17.68,1
P20862,5,Home & Furniture,1,0,0,9.9,only one year,1,17.68,1
P05576,4,Beauty & Personal Care,1,0,9.99,0,only one year,1,17.77,1
P19233,5,Beauty & Personal Care,1,0,10,0,only one year,1,17.78,1
P14191,5,Home & Furniture,1,0,14.9,0,only one year,1,17.84,1
P18510,5,"Construction tools ,arts & Others",1,0,0,10.25,only one year,1,18.03,1
P18940,5,Home & Furniture,1,0,0,10.9,only one year,1,18.29,1
P21742,5,NULL,1,0,7.6,0,only one year,1,18.56,1
P06408,5,Beauty & Personal Care,1,0,0,11.2,only one year,1,18.59,1
P23393,5,Electronics & Technology,1,0,9.5,0,only one year,1,18.59,1
P04424,5,NULL,1,0,10.5,0,only one year,1,18.61,1
P11644,2,Electronics & Technology,1,0,9.9,0,only one year,1,18.62,1
P12359,1,Home & Furniture,1,0,7.8,0,only one year,1,18.76,1
P27637,1,Beauty & Personal Care,1,0,0,11.53,only one year,1,18.92,1
P16973,5,Fashion & Accessories,1,0,3.9,0,only one year,1,19,1
P00870,1,Electronics & Technology,1,0,0,11.19,only one year,1,19.06,1
P09304,5,"Sports, Toys & Leisure",1,0,0,6.37,only one year,1,19.16,1
P13462,5,Home & Furniture,1,0,2.9,0,only one year,1,11.62,1
P08864,5,Home & Furniture,1,0,0,5.5,only one year,1,12.89,1
P06548,3,"Sports, Toys & Leisure",1,0,10.8,0,only one year,1,13.22,1
P00664,5,"Sports, Toys & Leisure",1,0,11.99,0,only one year,1,13.27,1
P07842,5,Fashion & Accessories,1,0,6,0,only one year,1,13.78,1
P19420,1,Electronics & Technology,1,0,0,6.5,only one year,1,13.89,1
P09726,1,"Construction tools ,arts & Others",1,0,0,12.9,only one year,1,13.99,1
P02336,1,Home & Furniture,1,0,0,14.22,only one year,1,14.24,1
P18591,4,Beauty & Personal Care,1,0,0,6.5,only one year,1,14.28,1
P15803,1,Beauty & Personal Care,1,0,7.8,0,only one year,1,14.37,1
P16308,5,Home & Furniture,1,0,0,6.99,only one year,1,14.38,1
P19086,5,Beauty & Personal Care,1,0,0,7,only one year,1,14.71,1
P06087,5,"Construction tools ,arts & Others",1,0,0,2.99,only one year,1,14.84,1
P32680,5,Home & Furniture,1,0,5.9,0,only one year,1,15.24,1
P04807,1,Home & Furniture,1,0,0,6.9,only one year,1,15.9,1
P15985,5,"Sports, Toys & Leisure",1,0,0,8.9,only one year,1,16.29,1
P02013,2,NULL,1,0,13,0,only one year,1,16.33,1
P29540,5,"Sports, Toys & Leisure",1,0,7,0,only one year,1,16.34,1
P07739,5,Home & Furniture,1,0,0,8.49,only one year,1,16.36,1
P24712,4,Electronics & Technology,1,0,0,8.99,only one year,1,16.38,1
P02525,5,Electronics & Technology,1,0,0,9.99,only one year,1,17.38,1
P24083,5,"Construction tools ,arts & Others",1,0,0,9.99,only one year,1,17.38,1
P24287,5,Electronics & Technology,1,0,0,9.99,only one year,1,17.38,1
P11155,5,"Sports, Toys & Leisure",1,0,8.9,0,only one year,1,17.62,1
P16962,1,Home & Furniture,1,0,9.9,0,only one year,1,17.68,1
P06539,5,"Construction tools ,arts & Others",1,0,9.99,0,only one year,1,17.77,1
P10483,5,Beauty & Personal Care,1,0,10,0,only one year,1,17.78,1
P11783,5,"Sports, Toys & Leisure",1,0,0,10,only one year,1,17.78,1
P22878,5,Home & Furniture,1,0,16.9,0,only one year,1,18.05,1
P22507,4,Home & Furniture,1,0,12.99,0,only one year,1,18.17,1
P01162,5,Beauty & Personal Care,1,0,0,7.65,only one year,1,18.2,1
P00979,5,Home & Furniture,1,0,7.29,0,only one year,1,18.25,1
P29834,3,"Sports, Toys & Leisure",1,0,0,5.49,only one year,1,18.28,1
P19158,1,Home & Furniture,1,0,0,10.5,only one year,1,18.48,1
P24857,4,"Construction tools ,arts & Others",1,0,0,5.73,only one year,1,18.52,1
P28311,5,"Sports, Toys & Leisure",1,0,9.9,0,only one year,1,18.62,1
P11904,5,"Sports, Toys & Leisure",1,0,6.9,0,only one year,1,18.75,1
P05682,3,Home & Furniture,1,0,6.99,0,only one year,1,18.84,1
P08703,2,Home & Furniture,1,0,6.99,0,only one year,1,18.84,1
