seller_id_values,seller_city,seller_state,total_products,total_orders,Revenue_2016,Revenue_2017,Revenue_2018,total_revenue
S00007,guarulhos,SP,15,15,0,0,917.03,917.03
S00010,sa~o paulo,SP,138,138,0,19626.23,19626.23,39252.46
S00017,timoteo,MG,14,14,0,7317.63,7317.63,14635.26
S00036,curitiba,PR,30,30,0,4463.88,4463.88,8927.76
S00041,sao jose dos campos,SP,2,2,0,0,557.85,557.85
S00044,maua,SP,9,9,0,0,1250.66,1250.66
S00048,bombinhas,SC,94,94,0,63184.99,63184.99,126369.98
S00050,osasco,SP,3,3,0,0,149.38,149.38
S00057,sa~o paulo,SP,10,10,0,1261.95,1261.95,2523.9
S00063,criciuma,SC,4,4,0,0,1168.67,1168.67
S00065,santo andre,SP,63,63,0,8400.95,8400.95,16801.9
S00067,goiania,GO,10,10,0,1148.94,1148.94,2297.88
S00069,barueri,SP,1,1,0,0,188.42,188.42
S00071,sa~o paulo,SP,5,5,0,0,210.43,210.43
S00078,sa~o paulo,SP,62,62,0,5441.84,5441.84,10883.68
S00080,londrina,PR,47,47,0,5737.9,5737.9,11475.8
S00091,ribeirao preto,SP,3,3,0,139.36,139.36,278.72
S00094,sa~o paulo,SP,5,5,0,0,272.94,272.94
S00098,ibitinga,SP,9,9,0,0,889,889
S00101,osasco,SP,82,82,0,15355.78,15355.78,30711.56
S00106,taubate,SP,6,6,0,0,379.13,379.13
S00107,ribeirao pires,SP,74,74,0,7158.95,7158.95,14317.9
S00111,itapevi,SP,6,6,0,0,266.4,266.4
S00117,canoas,RS,2,2,0,1444.37,1444.37,2888.74
S00120,ribeirao preto,SP,19,19,0,0,1978.23,1978.23
S00122,sa~o paulo,SP,5,5,0,406.17,0,406.17
S00123,sa~o paulo,SP,17,17,0,5600.21,5600.21,11200.42
S00124,sa~o paulo,SP,5,5,0,0,560.36,560.36
S00129,alfenas,MG,2,2,0,0,958.78,958.78
S00130,sa~o paulo,SP,4,4,0,0,518.8,518.8
S00132,rio de janeiro,RJ,6,6,0,1564.72,1564.72,3129.44
S00134,curitiba,PR,2,2,0,201.27,201.27,402.54
S00139,sa~o paulo,SP,1,1,0,168.36,0,168.36
S00143,teixeira soares,PR,72,72,0,14401.81,14401.81,28803.62
S00148,maringa,PR,173,173,0,26420.78,26420.78,52841.56
S00156,valinhos,SP,65,65,0,3491.1,3491.1,6982.2
S00157,ponta grossa,PR,5,5,0,567.11,0,567.11
S00161,sa~o paulo,SP,22,22,0,875.83,875.83,1751.66
S00165,goiania,GO,2,2,0,0,183.63,183.63
S00176,contagem,MG,32,32,0,3661.68,3661.68,7323.36
S00178,americana,SP,43,43,0,2829.25,2829.25,5658.5
S00186,ourinhos,SP,3,3,0,0,498.35,498.35
S00187,caxias do sul,RS,10,10,0,939.96,939.96,1879.92
S00188,presidente prudente,SP,34,34,0,0,2685.47,2685.47
S00196,santa rita do sapucai,MG,3,3,0,0,287.76,287.76
S00198,sa~o paulo,SP,7,7,0,0,1077.9,1077.9
S00202,São Bernardo do Campo,SP,62,62,0,2645.41,2645.41,5290.82
S00212,angra dos reis,RJ,4,4,0,0,1901.21,1901.21
S00216,sa~o paulo,SP,2,2,0,436.67,0,436.67
S00224,valinhos,SP,1,1,0,0,922.84,922.84
S00227,sa~o paulo,SP,18,18,0,2400.3,2400.3,4800.6
S00228,sa~o paulo,SP,49,49,0,0,1607.3,1607.3
S00234,pedreira,SP,1,1,31.92,0,0,31.92
S00237,pitanga,PR,11,11,0,0,1433.16,1433.16
S00238,sa~o paulo,SP,21,21,0,869.17,869.17,1738.34
S00240,nova friburgo,RJ,29,29,0,1481.44,1481.44,2962.88
S00241,sa~o paulo,SP,28,28,0,0,2135.63,2135.63
S00243,sao jose do rio preto,SP,6,6,0,923.05,923.05,1846.1
S00245,garuva,SC,6,6,0,404.93,0,404.93
S00249,maringa,PR,3,3,0,645.97,645.97,1291.94
S00252,rio de janeiro,RJ,1,1,0,39.86,0,39.86
S00266,sa~o paulo,SP,11,11,0,0,2211.38,2211.38
S00270,bariri,SP,30,30,0,10156.84,10156.84,20313.68
S00271,sao vicente,SP,2,2,0,0,397.61,397.61
S00001,santo andre,SP,3,3,0,2748.06,0,2748.06
S00004,franca,SP,55,55,0,2028.16,2028.16,4056.32
S00008,sa~o paulo,SP,1,1,0,110.08,0,110.08
S00011,maringa,PR,109,109,0,0,12126.36,12126.36
S00022,francisco beltrao,PR,61,61,11131.09,11131.09,11131.09,33393.27
S00023,mogi das cruzes,SP,5,5,0,1533.71,0,1533.71
S00025,londrina,PR,129,129,0,17441.29,17441.29,34882.58
S00026,curitiba,PR,242,242,0,37904.3900000001,37904.3900000001,75808.7800000001
S00029,ribeirao das neves,MG,1,1,0,39.29,0,39.29
S00032,americana,SP,13,13,0,1762.59,1762.59,3525.18
S00033,natal,RN,14,14,0,5803.74,5803.74,11607.48
S00035,santo andre,SP,22,22,0,5208.93,5208.93,10417.86
S00039,ibitinga,SP,2,2,47.37,0,0,47.37
S00042,ribeirao pires,SP,9,9,0,0,215.55,215.55
S00046,sao bento do sul,SC,13,13,0,0,2501.75,2501.75
S00051,ivoti,RS,1,1,0,0,737.38,737.38
S00054,santo antonio de padua,RJ,16,16,0,2922.33,2922.33,5844.66
S00058,Belo Horizonte,MG,92,92,0,4932.76,4932.76,9865.52
S00060,itajobi,SP,21,21,0,10280.49,10280.49,20560.98
S00074,santo angelo,RS,61,61,23387.14,23387.14,23387.14,70161.42
S00081,sa~o paulo,SP,4,4,0,0,205.72,205.72
S00084,maringa,PR,26,26,0,0,8332.26,8332.26
S00088,guarulhos,SP,17,17,0,1629.59,1629.59,3259.18
S00108,barueri,SP,6,6,0,0,7426.65,7426.65
S00116,santos,SP,3,3,0,0,522.83,522.83
S00118,sa~o paulo,SP,1,1,0,35.01,0,35.01
S00125,São Bernardo do Campo,SP,51,51,0,12534.51,12534.51,25069.02
S00131,sa~o paulo,SP,14,14,0,1910.87,1910.87,3821.74
S00135,sorocaba,SP,8,8,0,1579.66,1579.66,3159.32
S00140,guarulhos,SP,3,3,0,0,1550.64,1550.64
S00142,sao roque,SP,1,1,0,0,62.87,62.87
S00144,jaragua do sul,SC,1,1,0,52.2,0,52.2
S00149,itajai,SC,137,137,0,9893.45,9893.45,19786.9
S00153,sa~o paulo,SP,9,9,0,0,1514.34,1514.34
S00158,tres coracoes,MG,193,193,19105.83,19105.83,19105.83,57317.49
S00166,santos,SP,132,132,10606.19,10606.19,10606.19,31818.57
S00167,guarulhos,SP,163,163,0,20039.18,20039.18,40078.36
S00170,porto ferreira,SP,3,3,0,0,133.6,133.6
S00172,sa~o paulo,SP,3,3,0,0,192.1,192.1
S00173,itajai,SC,8,8,0,1125.42,1125.42,2250.84
S00179,santana de parnaiba,SP,1,1,0,70.93,0,70.93
S00180,curitiba,PR,48,48,0,4894.38,4894.38,9788.76
S00183,pedrinhas paulista,SP,3,3,0,0,240.06,240.06
S00190,sao jose do rio preto,SP,3,3,0,1199.31,0,1199.31
S00192,rio claro,SP,5,5,0,0,475.21,475.21
S00193,sa~o paulo,SP,953,953,0,138779.55,138779.55,277559.1
S00194,campinas,SP,4,4,0,0,326.46,326.46
S00199,campinas,SP,118,118,0,7663.58,7663.58,15327.16
S00200,uba,MG,35,35,7033.66,7033.66,7033.66,21100.98
S00201,aparecida,SP,39,39,0,1330.13,1330.13,2660.26
S00203,catanduva,SP,2,2,0,0,831.01,831.01
S00205,sao miguel do oeste,SC,2,2,0,0,737.14,737.14
S00209,ribeirao preto,SP,3,3,0,120.19,0,120.19
S00210,sa~o paulo,SP,5,5,0,927.83,0,927.83
S00211,sa~o paulo,SP,3,3,0,0,1596.66,1596.66
S00226,rio de janeiro,RJ,4,4,0,765.22,0,765.22
S00236,sa~o paulo,SP,9,9,0,4246.02,0,4246.02
S00244,ipe,RS,2,2,0,0,330.06,330.06
S00247,monte siao,MG,249,249,34561.82,34561.82,34561.82,103685.46
S00248,sa~o paulo,SP,23,23,0,2644,2644,5288
S00250,muqui,ES,25,25,0,4198.33,4198.33,8396.66
S00251,sa~o paulo,SP,1,1,0,195.81,0,195.81
S00253,bauru,SP,2,2,0,102.89,102.89,205.78
S00255,conselheiro lafaiete,MG,8,8,0,0,433.95,433.95
S00002,cariacica,ES,201,201,0,28696.45,28696.45,57392.9
S00003,sao goncalo,RJ,1,1,0,0,267.94,267.94
S00005,goiania,GO,1,1,0,139.38,0,139.38
